date	conf_new	conf_total	deaths_new	deaths_total	rec_new	rec_total	intube_total	severe_total	tests_new	tests_total
11.03.2020	1	1	0	0	0	0	0	0	0	0
12.03.2020	0	1	0	0	0	0	0	0	0	0
13.03.2020	4	5	0	0	0	0	0	0	0	0
14.03.2020	1	6	0	0	0	0	0	0	0	0
15.03.2020	12	18	1	1	0	0	0	0	0	0
16.03.2020	29	47	0	1	0	0	0	0	0	0
17.03.2020	41	98	1	2	0	0	0	0	0	8002
18.03.2020	93	191	2	3	0	0	0	0	2015	10017
19.03.2020	168	359	1	4	0	0	0	0	1981	11998
20.03.2020	311	670	5	9	0	0	0	0	3656	15624
21.03.2020	277	947	13	21	0	0	0	0	2952	18604
22.03.2020	289	1236	9	30	0	0	0	0	1738	20345
23.03.2020	293	1529	7	37	0	0	0	0	3672	24017
24.03.2020	343	1872	7	44	0	26	102	136	3952	27969
25.03.2020	561	2433	15	59	0	0	0	0	5035	33004
26.03.2020	1196	3629	16	75	0	0	0	0	7286	40290
27.03.2020	2069	5698	17	92	16	42	241	344	7533	47823
28.03.2020	1704	7402	16	108	28	70	309	445	7641	55464
29.03.2020	1815	9217	23	131	35	105	394	568	9982	65446
30.03.2020	1610	10827	37	168	57	162	523	725	11535	76981
31.03.2020	2704	13531	46	214	81	243	622	847	15422	92403
1.04.2020	2148	15679	63	277	90	333	692	979	14397	106799
2.04.2020	2456	18315	79	356	82	415	783	1101	18757	125556
3.04.2020	2786	20921	69	425	69	484	867	1251	16160	141716
4.04.2020	3013	23934	76	501	302	786	909	1311	19664	161380
5.04.2020	3135	27069	73	574	256	1042	935	1381	20065	181445
6.04.2020	3148	30217	75	649	284	1326	966	1415	21400	202845
