Tarih,Vefat
01/03/2016,185
02/03/2016,224
03/03/2016,200
04/03/2016,191
05/03/2016,187
06/03/2016,175
07/03/2016,224
08/03/2016,174
09/03/2016,209
10/03/2016,226
11/03/2016,206
12/03/2016,169
13/03/2016,184
14/03/2016,197
15/03/2016,216
16/03/2016,217
17/03/2016,190
18/03/2016,222
19/03/2016,210
20/03/2016,172
21/03/2016,225
22/03/2016,227
23/03/2016,194
24/03/2016,225
25/03/2016,221
26/03/2016,192
27/03/2016,171
28/03/2016,208
29/03/2016,208
30/03/2016,211
31/03/2016,210
01/04/2016,224
02/04/2016,171
03/04/2016,187
04/04/2016,217
05/04/2016,197
06/04/2016,190
07/04/2016,193
08/04/2016,215
09/04/2016,201
10/04/2016,191
01/03/2017,203
02/03/2017,232
03/03/2017,203
04/03/2017,211
05/03/2017,186
06/03/2017,234
07/03/2017,213
08/03/2017,203
09/03/2017,213
10/03/2017,227
11/03/2017,190
12/03/2017,189
13/03/2017,211
14/03/2017,202
15/03/2017,216
16/03/2017,197
17/03/2017,236
18/03/2017,204
19/03/2017,194
20/03/2017,241
21/03/2017,230
22/03/2017,203
23/03/2017,207
24/03/2017,212
25/03/2017,210
26/03/2017,185
27/03/2017,219
28/03/2017,192
29/03/2017,210
30/03/2017,193
31/03/2017,213
01/04/2017,173
02/04/2017,231
03/04/2017,217
04/04/2017,210
05/04/2017,182
06/04/2017,209
07/04/2017,183
08/04/2017,212
09/04/2017,205
10/04/2017,243
01/03/2018,230
02/03/2018,251
03/03/2018,231
04/03/2018,222
05/03/2018,199
06/03/2018,215
07/03/2018,202
08/03/2018,225
09/03/2018,227
10/03/2018,208
11/03/2018,217
12/03/2018,225
13/03/2018,205
14/03/2018,213
15/03/2018,194
16/03/2018,215
17/03/2018,210
18/03/2018,192
19/03/2018,220
20/03/2018,190
21/03/2018,220
22/03/2018,236
23/03/2018,190
24/03/2018,214
25/03/2018,197
26/03/2018,228
27/03/2018,203
28/03/2018,213
29/03/2018,211
30/03/2018,195
31/03/2018,161
01/04/2018,193
02/04/2018,248
03/04/2018,191
04/04/2018,213
05/04/2018,216
06/04/2018,210
07/04/2018,194
08/04/2018,200
09/04/2018,219
10/04/2018,220
01/03/2019,224
02/03/2019,233
03/03/2019,195
04/03/2019,227
05/03/2019,216
06/03/2019,228
07/03/2019,218
08/03/2019,228
09/03/2019,212
10/03/2019,199
11/03/2019,214
12/03/2019,218
13/03/2019,190
14/03/2019,224
15/03/2019,192
16/03/2019,205
17/03/2019,211
18/03/2019,225
19/03/2019,233
20/03/2019,224
21/03/2019,201
22/03/2019,213
23/03/2019,189
24/03/2019,215
25/03/2019,198
26/03/2019,226
27/03/2019,217
28/03/2019,217
29/03/2019,242
30/03/2019,218
31/03/2019,183
01/04/2019,223
02/04/2019,198
03/04/2019,217
04/04/2019,202
05/04/2019,193
06/04/2019,191
07/04/2019,207
08/04/2019,205
09/04/2019,222
10/04/2019,196
01/03/2020,195
02/03/2020,231
03/03/2020,208
04/03/2020,221
05/03/2020,202
06/03/2020,203
07/03/2020,193
08/03/2020,230
09/03/2020,196
10/03/2020,202
11/03/2020,224
12/03/2020,237
13/03/2020,213
14/03/2020,200
15/03/2020,205
16/03/2020,254
17/03/2020,213
18/03/2020,270
19/03/2020,265
20/03/2020,281
21/03/2020,217
22/03/2020,250
23/03/2020,250
24/03/2020,236
25/03/2020,231
26/03/2020,242
27/03/2020,274
28/03/2020,269
29/03/2020,283
30/03/2020,296
31/03/2020,293
01/04/2020,311
02/04/2020,308
03/04/2020,327
04/04/2020,323
05/04/2020,342
06/04/2020,310
07/04/2020,321
08/04/2020,336
09/04/2020,309
10/04/2020,167
