date,deaths
01/01/2016,2
02/01/2016,7
03/01/2016,6
04/01/2016,4
05/01/2016,7
06/01/2016,7
07/01/2016,5
08/01/2016,5
09/01/2016,4
10/01/2016,4
11/01/2016,6
12/01/2016,12
13/01/2016,3
14/01/2016,2
15/01/2016,4
16/01/2016,4
17/01/2016,4
18/01/2016,8
19/01/2016,8
20/01/2016,5
21/01/2016,5
22/01/2016,7
23/01/2016,5
24/01/2016,3
25/01/2016,4
26/01/2016,4
27/01/2016,6
28/01/2016,4
29/01/2016,5
30/01/2016,10
31/01/2016,11
01/02/2016,9
02/02/2016,6
03/02/2016,5
04/02/2016,4
05/02/2016,7
06/02/2016,3
07/02/2016,4
08/02/2016,8
09/02/2016,10
10/02/2016,4
11/02/2016,2
12/02/2016,5
13/02/2016,6
14/02/2016,3
15/02/2016,6
16/02/2016,5
17/02/2016,7
18/02/2016,6
19/02/2016,5
20/02/2016,7
21/02/2016,6
22/02/2016,5
23/02/2016,4
24/02/2016,7
25/02/2016,8
26/02/2016,3
27/02/2016,7
28/02/2016,5
29/02/2016,8
01/03/2016,4
02/03/2016,6
03/03/2016,3
04/03/2016,3
05/03/2016,3
06/03/2016,4
07/03/2016,5
08/03/2016,7
09/03/2016,6
10/03/2016,8
11/03/2016,5
12/03/2016,6
13/03/2016,5
14/03/2016,3
15/03/2016,2
16/03/2016,4
17/03/2016,4
18/03/2016,2
19/03/2016,4
20/03/2016,2
21/03/2016,2
22/03/2016,4
23/03/2016,6
24/03/2016,6
25/03/2016,6
26/03/2016,6
27/03/2016,3
28/03/2016,4
29/03/2016,8
30/03/2016,2
31/03/2016,6
01/04/2016,6
02/04/2016,3
03/04/2016,0
04/04/2016,4
05/04/2016,8
06/04/2016,12
07/04/2016,1
08/04/2016,6
09/04/2016,4
10/04/2016,4
11/04/2016,3
12/04/2016,3
13/04/2016,1
14/04/2016,3
15/04/2016,6
16/04/2016,3
17/04/2016,7
18/04/2016,3
19/04/2016,5
20/04/2016,2
21/04/2016,2
22/04/2016,6
23/04/2016,6
24/04/2016,5
25/04/2016,3
26/04/2016,2
27/04/2016,5
28/04/2016,4
29/04/2016,5
30/04/2016,7
01/05/2016,2
02/05/2016,4
03/05/2016,2
04/05/2016,3
05/05/2016,4
06/05/2016,2
07/05/2016,2
08/05/2016,4
09/05/2016,5
10/05/2016,6
11/05/2016,6
12/05/2016,7
13/05/2016,8
14/05/2016,3
15/05/2016,2
16/05/2016,7
17/05/2016,6
18/05/2016,5
19/05/2016,2
20/05/2016,3
21/05/2016,6
22/05/2016,5
23/05/2016,4
24/05/2016,2
25/05/2016,5
26/05/2016,9
27/05/2016,3
28/05/2016,5
29/05/2016,3
30/05/2016,3
31/05/2016,5
01/06/2016,4
02/06/2016,5
03/06/2016,4
04/06/2016,6
05/06/2016,6
06/06/2016,2
07/06/2016,4
08/06/2016,7
09/06/2016,1
10/06/2016,1
11/06/2016,2
12/06/2016,0
13/06/2016,4
14/06/2016,4
15/06/2016,5
16/06/2016,5
17/06/2016,4
18/06/2016,3
19/06/2016,6
20/06/2016,1
21/06/2016,7
22/06/2016,2
23/06/2016,6
24/06/2016,4
25/06/2016,5
26/06/2016,6
27/06/2016,4
28/06/2016,6
29/06/2016,5
30/06/2016,2
01/07/2016,5
02/07/2016,1
03/07/2016,2
04/07/2016,5
05/07/2016,2
06/07/2016,3
07/07/2016,1
08/07/2016,3
09/07/2016,0
10/07/2016,6
11/07/2016,4
12/07/2016,4
13/07/2016,6
14/07/2016,2
15/07/2016,3
16/07/2016,3
17/07/2016,3
18/07/2016,3
19/07/2016,4
20/07/2016,7
21/07/2016,3
22/07/2016,5
23/07/2016,3
24/07/2016,1
25/07/2016,2
26/07/2016,4
27/07/2016,6
28/07/2016,3
29/07/2016,5
30/07/2016,4
31/07/2016,1
01/08/2016,3
02/08/2016,6
03/08/2016,8
04/08/2016,2
05/08/2016,5
06/08/2016,3
07/08/2016,1
08/08/2016,4
09/08/2016,4
10/08/2016,5
11/08/2016,7
12/08/2016,4
13/08/2016,0
14/08/2016,3
15/08/2016,3
16/08/2016,8
17/08/2016,3
18/08/2016,5
19/08/2016,7
20/08/2016,2
21/08/2016,3
22/08/2016,8
23/08/2016,6
24/08/2016,2
25/08/2016,4
26/08/2016,2
27/08/2016,5
28/08/2016,1
29/08/2016,2
30/08/2016,5
31/08/2016,2
01/09/2016,3
02/09/2016,5
03/09/2016,5
04/09/2016,1
05/09/2016,2
06/09/2016,5
07/09/2016,5
08/09/2016,4
09/09/2016,2
10/09/2016,6
11/09/2016,2
12/09/2016,4
13/09/2016,4
14/09/2016,5
15/09/2016,6
16/09/2016,3
17/09/2016,6
18/09/2016,4
19/09/2016,3
20/09/2016,10
21/09/2016,4
22/09/2016,3
23/09/2016,4
24/09/2016,3
25/09/2016,3
26/09/2016,3
27/09/2016,4
28/09/2016,1
29/09/2016,2
30/09/2016,5
01/10/2016,9
02/10/2016,7
03/10/2016,8
04/10/2016,8
05/10/2016,3
06/10/2016,5
07/10/2016,2
08/10/2016,2
09/10/2016,3
10/10/2016,5
11/10/2016,0
12/10/2016,4
13/10/2016,2
14/10/2016,3
15/10/2016,1
16/10/2016,3
17/10/2016,4
18/10/2016,12
19/10/2016,9
20/10/2016,4
21/10/2016,1
22/10/2016,8
23/10/2016,5
24/10/2016,5
25/10/2016,4
26/10/2016,8
27/10/2016,3
28/10/2016,5
29/10/2016,8
30/10/2016,6
31/10/2016,5
01/11/2016,6
02/11/2016,5
03/11/2016,4
04/11/2016,6
05/11/2016,5
06/11/2016,6
07/11/2016,3
08/11/2016,3
09/11/2016,4
10/11/2016,5
11/11/2016,6
12/11/2016,4
13/11/2016,5
14/11/2016,3
15/11/2016,8
16/11/2016,2
17/11/2016,2
18/11/2016,3
19/11/2016,0
20/11/2016,1
21/11/2016,3
22/11/2016,4
23/11/2016,5
24/11/2016,4
25/11/2016,2
26/11/2016,6
27/11/2016,7
28/11/2016,3
29/11/2016,5
30/11/2016,1
01/12/2016,7
02/12/2016,2
03/12/2016,3
04/12/2016,7
05/12/2016,3
06/12/2016,6
07/12/2016,6
08/12/2016,3
09/12/2016,5
10/12/2016,4
11/12/2016,6
12/12/2016,4
13/12/2016,9
14/12/2016,3
15/12/2016,3
16/12/2016,6
17/12/2016,4
18/12/2016,2
19/12/2016,4
20/12/2016,8
21/12/2016,5
22/12/2016,6
23/12/2016,4
24/12/2016,4
25/12/2016,2
26/12/2016,1
27/12/2016,3
28/12/2016,5
29/12/2016,9
30/12/2016,3
31/12/2016,3
01/01/2017,2
02/01/2017,4
03/01/2017,5
04/01/2017,5
05/01/2017,4
06/01/2017,3
07/01/2017,3
08/01/2017,3
09/01/2017,6
10/01/2017,3
11/01/2017,7
12/01/2017,4
13/01/2017,4
14/01/2017,8
15/01/2017,2
16/01/2017,2
17/01/2017,9
18/01/2017,8
19/01/2017,3
20/01/2017,5
21/01/2017,2
22/01/2017,4
23/01/2017,4
24/01/2017,11
25/01/2017,10
26/01/2017,3
27/01/2017,0
28/01/2017,2
29/01/2017,7
30/01/2017,2
31/01/2017,2
01/02/2017,11
02/02/2017,6
03/02/2017,3
04/02/2017,3
05/02/2017,7
06/02/2017,7
07/02/2017,6
08/02/2017,7
09/02/2017,5
10/02/2017,6
11/02/2017,2
12/02/2017,0
13/02/2017,6
14/02/2017,4
15/02/2017,9
16/02/2017,6
17/02/2017,4
18/02/2017,4
19/02/2017,4
20/02/2017,5
21/02/2017,3
22/02/2017,5
23/02/2017,4
24/02/2017,4
25/02/2017,7
26/02/2017,3
27/02/2017,7
28/02/2017,8
01/03/2017,7
02/03/2017,9
03/03/2017,6
04/03/2017,4
05/03/2017,6
06/03/2017,1
07/03/2017,7
08/03/2017,7
09/03/2017,0
10/03/2017,7
11/03/2017,3
12/03/2017,3
13/03/2017,10
14/03/2017,4
15/03/2017,2
16/03/2017,3
17/03/2017,5
18/03/2017,9
19/03/2017,4
20/03/2017,5
21/03/2017,8
22/03/2017,3
23/03/2017,5
24/03/2017,1
25/03/2017,9
26/03/2017,6
27/03/2017,6
28/03/2017,4
29/03/2017,3
30/03/2017,1
31/03/2017,9
01/04/2017,3
02/04/2017,6
03/04/2017,5
04/04/2017,5
05/04/2017,3
06/04/2017,5
07/04/2017,7
08/04/2017,3
09/04/2017,3
